experimento_id,fecha_hora,historia,escena,herramienta,modelo_version,prompt,negative_prompt,seed,ratio,steps,cfg,quality,variaciones,tiempo_seg,costo_est,archivo_output,score_alineacion,score_personaje,score_estilo,score_calidad,score_storyboard,score_control,notas
PLAN-011,,H2,S03,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S03 de 'La Luciérnaga y el Río'. Lumi, sola, llega al borde del río y descubre que no sabe regresar. Personajes: Lumi. Objetivo visual: Trasladar a Lumi a una situación vulnerable. Ubicación: Orilla del río. Momento: Noche profunda. Encuadre: Plano general con reflejo. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-012,,H2,S04,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S04 de 'La Luciérnaga y el Río'. El río refleja una luz suave y estable que marca una ruta sobre el agua. Personajes: Lumi, El Río. Objetivo visual: Introducir el aprendizaje central. Ubicación: Orilla del río. Momento: Continuo. Encuadre: Plano detalle al reflejo + plano medio. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-013,,H2,S05,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S05 de 'La Luciérnaga y el Río'. Lumi prueba destellos más pequeños, rítmicos y constantes. Personajes: Lumi. Objetivo visual: Mostrar el cambio interno de Lumi. Ubicación: Orilla del río. Momento: Continuo. Encuadre: Primer plano expresivo. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-014,,H2,S06,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S06 de 'La Luciérnaga y el Río'. Lumi encuentra a una luciérnaga desorientada y la acompaña con su luz regulada. Personajes: Lumi, Grupo de luciérnagas. Objetivo visual: Aplicar el aprendizaje en una acción concreta. Ubicación: Sendero del bosque. Momento: Noche. Encuadre: Plano medio lateral. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-015,,H2,S07,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S07 de 'La Luciérnaga y el Río'. Las demás luciérnagas vuelven y comienzan a coordinar sus destellos con ella. Personajes: Lumi, Grupo de luciérnagas. Objetivo visual: Reconciliar a Lumi con la comunidad. Ubicación: Sendero del bosque. Momento: Noche. Encuadre: Plano general coral. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-016,,H2,S08,,,"Ilustración suave tipo cuento; paleta cálida; texturas acuarela; expresiones claras; composición limpia. Escena S08 de 'La Luciérnaga y el Río'. Muchas luces pequeñas forman un camino brillante y armónico hacia el bosque. Personajes: Lumi. Objetivo visual: Cerrar con moraleja visual clara. Ubicación: Sendero principal. Momento: Noche al final. Encuadre: Gran plano general poético. Mantener anclas de consistencia: Lumi: luciérnaga ámbar dorada con bufanda-hoja verde, alas translúcidas, ojos grandes. Grupo: 2-3 luciérnagas cálidas. Río: reflejo sabio no literal.","estilo realista duro, terror, violencia, anatomía insecto grotesca, texto, ruido, fondo confuso, saturación extrema, expresiones agresivas",2202,4:3,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-017,,H3,S01,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S01 de 'El Mapa del Viento'. Una ráfaga abre el mapa en la plaza del pueblo y revela una ruta cambiante. Personajes: Nico, Sara. Objetivo visual: Presentar el artefacto y el detonante de la aventura. Ubicación: Plaza del pueblo. Momento: Tarde. Encuadre: Plano general con acción central. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-018,,H3,S02,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S02 de 'El Mapa del Viento'. Nico y Sara avanzan por un camino elevado mientras el mapa vuelve a cambiar. Personajes: Nico, Sara. Objetivo visual: Poner en marcha la travesía y mostrar el tono aventurero. Ubicación: Camino de colinas. Momento: Tarde. Encuadre: Plano general en diagonal. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-019,,H3,S03,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S03 de 'El Mapa del Viento'. En un puente antiguo, el mapa señala un desvío seguro en lugar del camino directo. Personajes: Nico, Sara. Objetivo visual: Introducir el primer obstáculo con decisión táctica. Ubicación: Puente viejo. Momento: Tarde avanzada. Encuadre: Plano medio / contrapicado suave. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-020,,H3,S04,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S04 de 'El Mapa del Viento'. Una corriente fuerte borra temporalmente las marcas del mapa en campo abierto. Personajes: Nico, Sara. Objetivo visual: Complicar la búsqueda y elevar tensión. Ubicación: Campo abierto. Momento: Atardecer. Encuadre: Plano general amplio con viento. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-021,,H3,S05,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S05 de 'El Mapa del Viento'. Sara observa el comportamiento del viento y deduce la lógica del dibujo del mapa. Personajes: Nico, Sara. Objetivo visual: Mostrar la inteligencia de Sara y la cooperación. Ubicación: Refugio improvisado junto a una roca. Momento: Atardecer. Encuadre: Plano medio íntimo. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-022,,H3,S06,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S06 de 'El Mapa del Viento'. Las pistas los llevan a una puerta oculta entre enredaderas y piedra antigua. Personajes: Nico, Sara. Objetivo visual: Descubrir la meta física de la búsqueda. Ubicación: Entrada de la biblioteca. Momento: Última luz. Encuadre: Plano general frontal. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-023,,H3,S07,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S07 de 'El Mapa del Viento'. Dentro, los libros y el polvo dorado crean una atmósfera silenciosa y viva. Personajes: Nico, Sara. Objetivo visual: Revelar el tesoro y bajar el ritmo con asombro. Ubicación: Interior de la biblioteca. Momento: Interior atemporal. Encuadre: Plano general con profundidad. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
PLAN-024,,H3,S08,,,"Aventura colorida semi-realista; luz de atardecer; composiciones dinámicas; sensación de viento y movimiento. Escena S08 de 'El Mapa del Viento'. Los protagonistas salen con un libro rescatado mientras el viento dibuja una nueva señal en el mapa. Personajes: Nico, Sara. Objetivo visual: Cerrar la mini historia y abrir continuidad. Ubicación: Exterior de la biblioteca. Momento: Anochecer cálido. Encuadre: Plano general de salida. Mantener anclas de consistencia: Nico: chaqueta marrón clara, mochila verde, brújula. Sara: pañuelo azul petróleo, cuaderno crema. Mapa: pergamino con líneas azul verdoso activadas por el viento.","violencia explícita, texto no solicitado, anatomía incorrecta, duplicaciones, desenfoque, iluminación plana, vestuario inconsistente, mapa genérico sin líneas mágicas",3303,16:9,,,,,,,,,,,,,,Fila preparada desde Entregable B para Fase 2.
